imdb_id,omdb_title,omdb_year,awards_text,omdb_boxoffice,omdb_imdb_rating,omdb_metascore,omdb_imdb_votes,response_ok,error_msg,fetched_at,omdb_boxoffice_usd,oscar_winner_flag,oscar_nominee_flag
tt0110197,Jimmy Hollywood,1994,N/A,"$3,783,003",5.3,N/A,"3,703",True,,2025-10-26T10:46:19.410605,3783003.0,0,0
tt0110216,Junior,1994,Nominated for 1 Oscar. 5 nominations total,"$36,763,355",4.8,59,"76,426",True,,2025-10-26T10:46:19.878589,36763355.0,0,1
tt0110265,Killing Zoe,1993,2 wins & 1 nomination total,"$418,961",6.4,49,"22,079",True,,2025-10-26T10:46:20.344196,418961.0,0,0
tt0110357,The Lion King,1994,Won 2 Oscars. 43 wins & 35 nominations total,"$424,979,720",8.5,88,"1,223,797",True,,2025-10-26T10:46:20.775482,424979720.0,1,0
tt0110367,Little Women,1994,Nominated for 3 Oscars. 6 wins & 19 nominations total,"$50,083,616",7.3,87,"66,483",True,,2025-10-26T10:46:21.239583,50083616.0,0,1
tt0110391,Love Affair,1994,2 nominations total,"$18,272,894",6.0,55,"5,245",True,,2025-10-26T10:46:21.712241,18272894.0,0,0
tt0110475,The Mask,1994,Nominated for 1 Oscar. 6 wins & 22 nominations total,"$119,938,730",7.0,59,"454,382",True,,2025-10-26T10:46:22.170041,119938730.0,0,1
tt0110598,Muriel's Wedding,1994,Nominated for 1 BAFTA Award9 wins & 13 nominations total,"$15,119,639",7.2,63,"44,296",True,,2025-10-26T10:46:22.669699,15119639.0,0,0
tt0110622,Naked Gun 33 1/3: The Final Insult,1994,3 wins total,"$51,132,598",6.5,63,"124,002",True,,2025-10-26T10:46:23.089897,51132598.0,0,0
tt0110632,Natural Born Killers,1994,5 wins & 10 nominations total,"$50,282,766",7.2,74,"263,444",True,,2025-10-26T10:46:23.513731,50282766.0,0,0
tt0110687,North,1994,4 wins & 9 nominations,"$7,182,747",4.5,N/A,"14,983",True,,2025-10-26T10:46:23.983842,7182747.0,0,0
tt0110725,On Deadly Ground,1994,1 win & 6 nominations total,"$38,590,458",4.6,33,"26,625",True,,2025-10-26T10:46:24.415806,38590458.0,0,0
tt0110912,Pulp Fiction,1994,Won 1 Oscar. 69 wins & 72 nominations total,"$107,928,762",8.8,95,"2,371,438",True,,2025-10-26T10:46:24.856433,107928762.0,1,0
tt0110944,Rapa Nui,1994,1 win & 1 nomination,"$305,070",6.4,N/A,"5,421",True,,2025-10-26T10:46:25.354668,305070.0,0,0
tt0110989,Richie Rich,1994,3 nominations total,"$38,087,756",5.4,49,"76,687",True,,2025-10-26T10:46:25.815632,38087756.0,0,0
tt0111070,The Santa Clause,1994,2 wins & 9 nominations total,"$145,539,357",6.6,57,"141,768",True,,2025-10-26T10:46:26.230553,145539357.0,0,0
tt0111127,Serial Mom,1994,1 nomination total,"$7,820,688",6.8,64,"36,994",True,,2025-10-26T10:46:26.650898,7820688.0,0,0
tt0111149,Shallow Grave,1994,Won 1 BAFTA Award14 wins & 1 nomination total,"$2,079,569",7.2,69,"69,165",True,,2025-10-26T10:46:27.080416,2079569.0,0,0
tt0111161,The Shawshank Redemption,1994,Nominated for 7 Oscars. 21 wins & 42 nominations total,"$28,767,189",9.3,82,"3,104,274",True,,2025-10-26T10:46:27.493041,28767189.0,0,1
tt0111187,Silent Fall,1994,1 nomination total,"$3,180,674",5.9,N/A,"5,187",True,,2025-10-26T10:46:27.908779,3180674.0,0,0
tt0111252,Spanking the Monkey,1994,3 wins & 5 nominations,"$1,359,736",6.3,66,"6,824",True,,2025-10-26T10:46:28.380538,1359736.0,0,0
